	F	D	1	0	0	0.0	1	1	1	1	1.0	2	1	2	2	2.0
	F	D	1	0	0	0.0	3	1	3	3	3.0	0	1	0	0	0.0
	F	D	1	0	0	0.0	5	1	5	5	5.0	0	1	0	0	0.0
	F	D	1	0	0	0.0	6	1	6	6	6.0	0	1	0	0	0.0
	F	D	1	1	1	1.0	1	1	1	1	1.0	1	1	1	1	1.0
	F	D	1	1	1	1.0	5	1	5	5	5.0	3	1	3	3	3.0
	F	D	1	3	3	3.0	0	1	0	0	0.0	5	1	5	5	5.0
	F	D	1	3	3	3.0	1	1	1	1	1.0	3	1	3	3	3.0
	F	D	1	3	3	3.0	5	1	5	5	5.0	4	1	4	4	4.0
	F	D	1	4	4	4.0	2	1	2	2	2.0	5	1	5	5	5.0
	F	D	1	4	4	4.0	4	1	4	4	4.0	4	1	4	4	4.0
	F	D	1	6	6	6.0	0	1	0	0	0.0	6	1	6	6	6.0
	F	D	1	6	6	6.0	5	1	5	5	5.0	4	1	4	4	4.0
	F	M	1	0	0	0.0	0	1	0	0	0.0	3	1	3	3	3.0
	F	M	1	0	0	0.0	3	1	3	3	3.0	6	1	6	6	6.0
	F	M	2	1	1	1.0	1	2	1	1	1.0	0	2	0	0	0.0
	F	M	1	1	1	1.0	2	1	2	2	2.0	4	1	4	4	4.0
	F	M	1	1	1	1.0	3	1	3	3	3.0	3	1	3	3	3.0
	F	M	1	1	1	1.0	4	1	4	4	4.0	2	1	2	2	2.0
	F	M	1	1	1	1.0	6	1	6	6	6.0	2	1	2	2	2.0
	F	M	1	2	2	2.0	1	1	1	1	1.0	0	1	0	0	0.0
	F	M	1	2	2	2.0	5	1	5	5	5.0	4	1	4	4	4.0
	F	M	1	3	3	3.0	0	1	0	0	0.0	4	1	4	4	4.0
	F	M	1	4	4	4.0	2	1	2	2	2.0	1	1	1	1	1.0
	F	M	1	4	4	4.0	4	1	4	4	4.0	1	1	1	1	1.0
	F	M	1	5	5	5.0	1	1	1	1	1.0	2	1	2	2	2.0
	F	M	1	5	5	5.0	3	1	3	3	3.0	3	1	3	3	3.0
	F	M	1	6	6	6.0	2	1	2	2	2.0	2	1	2	2	2.0
	F	M	1	6	6	6.0	2	1	2	2	2.0	3	1	3	3	3.0
	F	M	1	6	6	6.0	3	1	3	3	3.0	4	1	4	4	4.0
	F	M	1	6	6	6.0	5	1	5	5	5.0	1	1	1	1	1.0
	F	S	1	0	0	0.0	0	1	0	0	0.0	3	1	3	3	3.0
	F	S	1	0	0	0.0	2	1	2	2	2.0	3	1	3	3	3.0
	F	S	1	0	0	0.0	3	1	3	3	3.0	6	1	6	6	6.0
	F	S	1	0	0	0.0	4	1	4	4	4.0	5	1	5	5	5.0
	F	S	1	1	1	1.0	0	1	0	0	0.0	3	1	3	3	3.0
	F	S	1	1	1	1.0	3	1	3	3	3.0	4	1	4	4	4.0
	F	S	1	1	1	1.0	4	1	4	4	4.0	0	1	0	0	0.0
	F	S	1	1	1	1.0	4	1	4	4	4.0	4	1	4	4	4.0
	F	S	1	1	1	1.0	5	1	5	5	5.0	0	1	0	0	0.0
	F	S	1	2	2	2.0	0	1	0	0	0.0	3	1	3	3	3.0
	F	S	1	2	2	2.0	1	1	1	1	1.0	6	1	6	6	6.0
	F	S	1	2	2	2.0	2	1	2	2	2.0	2	1	2	2	2.0
	F	S	1	2	2	2.0	4	1	4	4	4.0	6	1	6	6	6.0
	F	S	1	2	2	2.0	6	1	6	6	6.0	1	1	1	1	1.0
	F	S	1	2	2	2.0	6	1	6	6	6.0	5	1	5	5	5.0
	F	S	1	3	3	3.0	1	1	1	1	1.0	0	1	0	0	0.0
	F	S	1	3	3	3.0	1	1	1	1	1.0	2	1	2	2	2.0
	F	S	1	3	3	3.0	3	1	3	3	3.0	0	1	0	0	0.0
	F	S	1	3	3	3.0	4	1	4	4	4.0	6	1	6	6	6.0
	F	S	1	3	3	3.0	6	1	6	6	6.0	6	1	6	6	6.0
	F	S	1	4	4	4.0	0	1	0	0	0.0	2	1	2	2	2.0
	F	S	1	5	5	5.0	4	1	4	4	4.0	2	1	2	2	2.0
	F	S	1	5	5	5.0	6	1	6	6	6.0	6	1	6	6	6.0
	F	S	1	6	6	6.0	0	1	0	0	0.0	0	1	0	0	0.0
	F	S	1	6	6	6.0	0	1	0	0	0.0	2	1	2	2	2.0
	F	S	1	6	6	6.0	4	1	4	4	4.0	5	1	5	5	5.0
	F	U	1	0	0	0.0	4	1	4	4	4.0	1	1	1	1	1.0
	F	U	1	0	0	0.0	5	1	5	5	5.0	1	1	1	1	1.0
	F	U	1	0	0	0.0	6	1	6	6	6.0	6	1	6	6	6.0
	F	U	1	1	1	1.0	5	1	5	5	5.0	2	1	2	2	2.0
	F	U	1	2	2	2.0	4	1	4	4	4.0	4	1	4	4	4.0
	F	U	1	3	3	3.0	1	1	1	1	1.0	6	1	6	6	6.0
	F	U	1	3	3	3.0	3	1	3	3	3.0	6	1	6	6	6.0
	F	U	1	3	3	3.0	4	1	4	4	4.0	3	1	3	3	3.0
	F	U	1	3	3	3.0	5	1	5	5	5.0	1	1	1	1	1.0
	F	U	1	3	3	3.0	6	1	6	6	6.0	0	1	0	0	0.0
	F	U	1	3	3	3.0	6	1	6	6	6.0	3	1	3	3	3.0
	F	U	1	6	6	6.0	1	1	1	1	1.0	3	1	3	3	3.0
	F	U	1	6	6	6.0	2	1	2	2	2.0	1	1	1	1	1.0
	F	U	1	6	6	6.0	5	1	5	5	5.0	6	1	6	6	6.0
	F	W	1	0	0	0.0	2	1	2	2	2.0	4	1	4	4	4.0
	F	W	1	0	0	0.0	6	1	6	6	6.0	2	1	2	2	2.0
	F	W	1	2	2	2.0	5	1	5	5	5.0	1	1	1	1	1.0
	F	W	1	4	4	4.0	0	1	0	0	0.0	4	1	4	4	4.0
	F	W	1	4	4	4.0	1	1	1	1	1.0	1	1	1	1	1.0
	F	W	1	4	4	4.0	2	1	2	2	2.0	6	1	6	6	6.0
	F	W	1	4	4	4.0	4	1	4	4	4.0	3	1	3	3	3.0
	F	W	1	5	5	5.0	6	1	6	6	6.0	1	1	1	1	1.0
	F	W	1	6	6	6.0	2	1	2	2	2.0	6	1	6	6	6.0
	F	W	1	6	6	6.0	3	1	3	3	3.0	4	1	4	4	4.0
	F	W	1	6	6	6.0	4	1	4	4	4.0	0	1	0	0	0.0
	F	W	1	6	6	6.0	5	1	5	5	5.0	6	1	6	6	6.0
	M	D	1	1	1	1.0	5	1	5	5	5.0	6	1	6	6	6.0
	M	D	1	2	2	2.0	3	1	3	3	3.0	3	1	3	3	3.0
	M	D	1	2	2	2.0	6	1	6	6	6.0	1	1	1	1	1.0
	M	D	1	2	2	2.0	6	1	6	6	6.0	6	1	6	6	6.0
